ID,Anneal Time,R PbI2,R BAAc,R MAI,PbI2_vol,BAAc_vol,MAI_vol,filename,QW1,QW2,QW3,QW4,QW5,QW6,QW7,QW8,QW9,QW10,QW11,QW12,QW99,Temperature,source,well
54,20.07,1.0,0.7,4.54,16.02,11.19,72.79,N4 R2 sample 6_Subt2__0__18-23-45-149.csv,0.0,0.0,0.2989819703919131,0.3659437939339301,0.0,0.0,0.0,0.4855483288150983,0.3628015862131352,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
55,19.71,1.0,0.98,0.9,34.82,33.96,31.22,N4 R2 sample 7_Subt2__0__18-22-18-651.csv,0.0566397990246365,0.2776768117866511,0.1695572171339188,0.1241886041279118,0.0970583093290864,0.1437508456842084,0.1081845020591186,0.1378954600738484,0.1378128240118436,0.084251940631737,0.0672288306442499,0.067124015243663,0.1113074900055071,95.0,IMOD_N4_v2_0425,
56,19.71,1.0,0.98,0.9,34.82,33.96,31.22,N4 R2 sample 8_Subt2__0__18-22-05-651.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
57,13.96,1.0,1.27,1.41,27.17,34.54,38.29,N4 R2 sample 9_Subt2__0__18-18-10-657.csv,0.0,0.2188987920848624,0.2831741278731315,0.2206740673401036,0.0,0.1852397038817787,0.1319549923106362,0.1092683588632863,0.0896463743095185,0.1474470782784405,0.1238696604770706,0.1236861108648362,0.1816245958484084,95.0,IMOD_N4_v2_0425,
58,13.96,1.0,1.27,1.41,27.17,34.54,38.29,N4 R2 sample 10_Subt2__0__18-17-53-658.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
59,3.65,1.0,1.5,5.0,13.33,20.0,66.67,N4 R2 sample 11_Subt2__0__18-11-29-665.csv,0.0,0.3248551017229927,0.3474309531329918,0.0,0.0,0.0,0.5606832216250749,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
60,3.65,1.0,1.5,5.0,13.33,20.0,66.67,N4 R2 sample 12_Subt2__0__18-11-01-166.csv,0.0,0.3630614290172249,0.0,0.0,0.0,0.0,0.6051924285169507,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
73,29.3,1.0,1.06,1.28,29.93,31.64,38.42,N4 R3 sample 1_Subt2__0__20-04-13-018.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
74,29.3,1.0,1.06,1.28,29.93,31.64,38.42,N4 R3 sample 2_Subt2__0__20-03-53-018.csv,0.0,0.2830031242231641,0.0,0.0,0.0,0.2824032845098793,0.228966455869127,0.3108867484502556,0.3220013470159609,0.0,0.0,0.0,0.4719484883115791,95.0,IMOD_N4_v2_0425,
75,23.95,1.0,1.0,4.48,15.45,15.37,69.18,N4 R3 sample 3_Subt2__0__20-02-56-519.csv,0.0,0.0,0.2944943354475539,0.3074807870626626,0.2593458901362727,0.0,0.5397448723982119,0.5391334289791558,0.0,0.0,0.0,0.2947671798636127,0.2996610508233182,95.0,IMOD_N4_v2_0425,
76,23.95,1.0,1.0,4.48,15.45,15.37,69.18,N4 R3 sample 4_Subt2__0__20-01-41-021.csv,0.0,0.0,0.0,0.3683320194180697,0.0,0.0,0.6241334465464766,0.6205394567463752,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
77,23.33,1.0,0.68,5.0,14.97,10.17,74.86,N4 R3 sample 5_Subt2__0__20-01-11-022.csv,0.0,0.0,0.0,0.3340979400279154,0.3746295516810787,0.3794732208720692,0.0,0.3871834136612758,0.386238509437789,0.4081839331351065,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
78,23.33,1.0,0.68,5.0,14.97,10.17,74.86,N4 R3 sample 6_Subt2__0__20-00-31-022.csv,0.0,0.0,0.0,0.2439439173781027,0.3799073428031028,0.2922167514910376,0.0,0.0,0.4052954728059215,0.389970517916242,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
79,13.44,1.0,0.48,1.54,33.03,16.01,50.96,N4 R3 sample 7_Subt2__0__19-52-08-534.csv,0.0,0.0,0.289475114253489,0.3718887747144051,0.3594065743355119,0.3464747885946117,0.0,0.0,0.0,0.2190356742966533,0.2227384673038431,0.222514052020327,0.2054176584977195,95.0,IMOD_N4_v2_0425,
80,13.44,1.0,0.48,1.54,33.03,16.01,50.96,N4 R3 sample 8_Subt2__0__19-50-44-535.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
81,5.14,1.0,0.91,3.48,18.56,16.83,64.62,N4 R3 sample 9_Subt2__0__19-43-30-544.csv,0.0,0.0,0.0,0.3394938621893393,0.2784754094087925,0.2697513423048152,0.2205653336330577,0.1621526955524219,0.1461346899915425,0.1617763722401949,0.161323805513683,0.171244157737655,0.2228047200509269,95.0,IMOD_N4_v2_0425,
82,5.14,1.0,0.91,3.48,18.56,16.83,64.62,N4 R3 sample 10_Subt2__0__19-42-43-045.csv,0.0,0.0,0.0,0.4218806071020788,0.0,0.4210853431913017,0.0,0.3401308973614247,0.2589804217633905,0.2585420261852752,0.2683723510581309,0.267707610789771,0.2624511010994762,95.0,IMOD_N4_v2_0425,
83,2.56,1.0,1.48,1.85,23.09,34.24,42.67,N4 R3 sample 11_Subt2__0__19-42-00-047.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
84,2.56,1.0,1.48,1.85,23.09,34.24,42.67,N4 R3 sample 12_Subt2__0__19-41-49-064.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
97,21.02,1.0,1.06,3.77,17.14,18.24,64.62,N4 R4 sample 1_Subt2__0__12-56-21-978.csv,0.1749042288301573,0.2892229032593169,0.3218991207825747,0.2930355283338381,0.1803893173954973,0.0,0.1950266819156333,0.1412115149342796,0.0,0.1410671023073839,0.1691338852395573,0.1409036892459849,0.1773795912279117,95.0,IMOD_N4_v2_0425,
98,21.02,1.0,1.06,3.77,17.14,18.24,64.62,N4 R4 sample 2_Subt2__0__12-55-37-485.csv,0.0574975769567651,0.1383537682859988,0.2383702036748128,0.207721459844229,0.2099767651338828,0.2089760277988488,0.1931182857992725,0.1283995069389028,0.1282705080254297,0.0867477151587296,0.0986992784946948,0.0986057473118646,0.1002833966247804,95.0,IMOD_N4_v2_0425,
99,13.22,1.0,0.58,2.16,26.68,15.57,57.75,N4 R4 sample 3_Subt2__0__12-54-17-972.csv,0.0,0.0,0.2691579011592124,0.2572826350737521,0.3375690502951689,0.0,0.0,0.0,0.5092362222820018,0.314927142197703,0.3145063942535658,0.3142010703740621,0.0,95.0,IMOD_N4_v2_0425,
100,13.22,1.0,0.58,2.16,26.68,15.57,57.75,N4 R4 sample 4_Subt2__0__12-53-37-987.csv,0.0,0.0,0.0,0.0,0.3126986505107895,0.0,0.3850160655793741,0.0,0.3306949380785186,0.4198930762365911,0.3259832965416223,0.3242963214294258,0.0,95.0,IMOD_N4_v2_0425,
101,12.72,1.0,0.33,3.74,19.74,6.51,73.74,N4 R4 sample 5_Subt2__0__12-52-47-489.csv,0.0,0.0,0.2333710980649518,0.2855874357413333,0.0,0.0,0.0,0.4504404772900288,0.4504404772900288,0.3275796135285199,0.342111427810024,0.3415762429899634,0.0,95.0,IMOD_N4_v2_0425,
102,12.72,1.0,0.33,3.74,19.74,6.51,73.74,N4 R4 sample 6_Subt2__0__12-52-10-989.csv,0.0,0.0,0.2516237451479273,0.0,0.2828433853395609,0.0,0.0,0.4203169753234552,0.4203169753234552,0.3132079748396936,0.3735533325972122,0.3729181418144696,0.0,95.0,IMOD_N4_v2_0425,
103,12.65,1.0,0.33,3.68,19.96,6.59,73.45,N4 R4 sample 7_Subt2__0__12-51-32-990.csv,0.0,0.0,0.2566505973583547,0.0,0.0,0.0,0.4785879177797034,0.2999256434203517,0.2994345875980438,0.2307598792780597,0.2976914670803413,0.2968957579231588,0.0,95.0,IMOD_N4_v2_0425,
104,12.65,1.0,0.33,3.68,19.96,6.59,73.45,N4 R4 sample 8_Subt2__0__12-50-49-491.csv,0.0,0.0,0.295723907468356,0.0,0.0,0.0,0.5514748052226087,0.2899656945193005,0.3610448316398289,0.3597499304724621,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
105,12.53,1.0,0.55,4.19,17.4,9.62,72.97,N4 R4 sample 9_Subt2__0__12-49-23-493.csv,0.0,0.0,0.3284866521570924,0.2900678627685401,0.0,0.0,0.0,0.5357957061792066,0.370541476489389,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
106,12.53,1.0,0.55,4.19,17.4,9.62,72.97,N4 R4 sample 10_Subt2__0__12-49-41-492.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
107,6.67,1.0,1.07,1.51,27.95,29.78,42.27,N4 R4 sample 11_Subt2__0__12-44-51-999.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
108,6.67,1.0,1.07,1.51,27.95,29.78,42.27,N4 R4 sample 12_Subt2__0__12-44-40-514.csv,0.2569930333275681,0.3347428524953856,0.3347335208581122,0.3127228591342216,0.3030101179118284,0.2313142923687835,0.1690580204456884,0.1689855641667423,0.1689505242444207,0.1687826004563428,0.1686659422460905,0.1685635477683784,0.1955572191359401,95.0,IMOD_N4_v2_0425,
109,25.39,1.0,1.26,3.65,16.93,21.27,61.8,N4 R5 sample 1_Subt2__0__16-19-10-689.csv,0.0,0.2773323516720619,0.297042812910337,0.2452499684954313,0.3239717533673044,0.0,0.3462660779082091,0.3285370942479659,0.3282353842639688,0.0,0.0,0.2366659216188533,0.2398561509369792,95.0,IMOD_N4_v2_0425,
110,25.39,1.0,1.26,3.65,16.93,21.27,61.8,N4 R5 sample 2_Subt2__0__16-18-39-690.csv,0.0,0.1788837834743001,0.1613779605688198,0.1707420410453539,0.2249813063933399,0.0,0.3375781767346495,0.0,0.1850848767568571,0.1819081842888444,0.1369189117452596,0.136742984891535,0.1244551940423847,95.0,IMOD_N4_v2_0425,
111,18.75,1.0,1.24,2.19,22.56,28.05,49.4,N4 R5 sample 3_Subt2__0__16-14-05-195.csv,0.0504750021118223,0.1812227011334668,0.2104523321173879,0.1555862077906755,0.1166132701796925,0.1309483069568038,0.1200625495025749,0.0573502336879466,0.058214840062752,0.0581201789081834,0.0452255646387291,0.0915774670991286,0.1045022763235876,95.0,IMOD_N4_v2_0425,
112,18.75,1.0,1.24,2.19,22.56,28.05,49.4,N4 R5 sample 4_Subt2__0__16-13-40-196.csv,0.0,0.208608726651413,0.218753254678549,0.0,0.1948815515645836,0.1142020114196911,0.1947570033468527,0.154698427391991,0.137701974598926,0.1226663873828577,0.1439773535604867,0.1438146096636525,0.2329594825464422,95.0,IMOD_N4_v2_0425,
113,11.6,1.0,0.46,0.53,50.35,23.19,26.46,N4 R5 sample 5_Subt2__0__16-05-49-206.csv,0.1120919148182967,0.2533817173630656,0.3051778319838563,0.1422081826918136,0.2305023155583554,0.0,0.1791127677513468,0.1135129902857271,0.1700384370412933,0.0,0.1310089741435376,0.1309339407102931,0.1921600131281585,95.0,IMOD_N4_v2_0425,
114,11.6,1.0,0.46,0.53,50.35,23.19,26.46,N4 R5 sample 6_Subt2__0__16-05-27-707.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
115,5.81,1.0,0.78,3.0,20.88,16.39,62.73,N4 R5 sample 7_Subt2__0__16-04-41-208.csv,0.0,0.0,0.2609408493599727,0.298702383646432,0.3291511335551059,0.0,0.3612790490428399,0.2550858892250431,0.3737945668226534,0.3731701535591532,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
116,5.81,1.0,0.78,3.0,20.88,16.39,62.73,N4 R5 sample 8_Subt2__0__16-04-10-710.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
117,2.52,1.0,1.09,4.04,16.32,17.79,65.89,N4 R5 sample 9_Subt2__0__16-03-04-710.csv,0.0,0.2637849495029168,0.290092426437797,0.2710141321221218,0.2289044764517637,0.2048382952748832,0.1758772936589864,0.1812746430679053,0.1837484306178673,0.0,0.0,0.0,0.2142387741619205,95.0,IMOD_N4_v2_0425,
118,2.52,1.0,1.09,4.04,16.32,17.79,65.89,N4 R5 sample 10_Subt2__0__16-02-29-211.csv,0.0,0.303305899431092,0.3129482220032808,0.2812274265299231,0.265689609072692,0.2758618542760579,0.2559520254672373,0.2076587855263064,0.1982929643204034,0.1979866850159823,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
119,2.48,1.0,1.36,2.61,20.12,27.34,52.54,N4 R5 sample 11_Subt2__0__16-01-29-213.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
120,2.48,1.0,1.36,2.61,20.12,27.34,52.54,N4 R5 sample 12_Subt2__0__16-00-56-732.csv,0.0,0.4862267008953507,0.318858880579807,0.0,0.2927900369960393,0.0,0.3588606561837688,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
121,30.0,1.0,0.33,1.31,37.81,12.48,49.71,N4 R6 sample 1_Subt2__0__17-32-46-593.csv,0.0,0.0,0.1374025680197388,0.1704918096953958,0.0,0.2660721294079032,0.2400719797641042,0.2429073103063404,0.2235790791497562,0.2987233544957362,0.2523451413788791,0.2520051357944461,0.2032976651502577,95.0,IMOD_N4_v2_0425,
122,30.0,1.0,0.33,1.31,37.81,12.48,49.71,N4 R6 sample 2_Subt2__0__17-32-32-592.csv,0.0,0.0,0.2048597519046517,0.1520814142793413,0.2107535382357938,0.2199437832357844,0.3029790319074613,0.0,0.2611247553096571,0.2474024314326024,0.24718404655594,0.1821390302010175,0.2254111243375539,95.0,IMOD_N4_v2_0425,
123,27.55,1.0,1.37,4.53,14.5,19.82,65.68,N4 R6 sample 3_Subt2__0__17-31-10-095.csv,0.0,0.2499346895982081,0.252943166997485,0.1936633715615677,0.111578316354036,0.1240340284193934,0.1049572863481535,0.1049572863481535,0.128280493262225,0.0879604660100294,0.0910753665364889,0.1122849013399621,0.1080293253665743,95.0,IMOD_N4_v2_0425,
124,27.55,1.0,1.37,4.53,14.5,19.82,65.68,N4 R6 sample 4_Subt2__0__17-30-49-095.csv,0.1511863929846155,0.2889160942486021,0.325209828215421,0.2817835943399814,0.215785310447543,0.141646973769581,0.1771333065390878,0.1770596534152869,0.0,0.1570902454198885,0.1409297066852452,0.1753264040061578,0.1430055975652849,95.0,IMOD_N4_v2_0425,
125,19.97,1.0,0.7,4.52,16.08,11.24,72.68,N4 R6 sample 5_Subt2__0__17-27-36-599.csv,0.0,0.0,0.2853167070774677,0.3244679908213753,0.0,0.2954329855787853,0.2773189590584085,0.2939813896961287,0.2935275904529767,0.0,0.2429364867713383,0.2426675491774752,0.1951893021256764,95.0,IMOD_N4_v2_0425,
126,19.97,1.0,0.7,4.52,16.08,11.24,72.68,N4 R6 sample 6_Subt2__0__17-26-28-601.csv,0.0,0.0,0.1703091675218952,0.2537083671453573,0.1176047971166105,0.1965677826136534,0.0896629648153772,0.1551450856509903,0.1061214895761066,0.085539688493202,0.0853374856481818,0.0840892417237248,0.0933639600094849,95.0,IMOD_N4_v2_0425,
127,19.81,1.0,0.97,0.92,34.59,33.71,31.7,N4 R6 sample 7_Subt2__0__17-25-54-101.csv,0.0842626645945478,0.2399764639885407,0.2629906786032298,0.2089029500884656,0.1536193383194585,0.1707990060088913,0.0,0.1265213938858672,0.0,0.0972668524007177,0.1330869947014357,0.0904266011354499,0.1227285818854432,95.0,IMOD_N4_v2_0425,
